processus_total,erreur,nb_worker,temps(ms)
12000000,5.8148768374380506E-5,1,441
12000000,2.686577064372828E-4,1,406
12000000,2.808512604113864E-4,1,406
12000000,1.8472999978015812E-4,1,406
12000000,2.129451513588236E-4,1,406
12000000,1.7072436478809266E-4,1,421
12000000,5.272917531292216E-5,1,406
12000000,3.81555613610249E-6,2,249
12000000,1.4494126400713565E-4,2,203
12000000,5.793656178356165E-5,2,203
12000000,1.588407957037917E-4,2,203
12000000,2.3417413543402494E-4,2,204
12000000,6.653092871059443E-5,2,266
12000000,3.936016009331327E-5,2,266
12000000,1.9314962259901536E-5,2,203
12000000,6.026250928600203E-5,2,219
12000000,9.82558140334899E-5,3,187
12000000,1.7570289467534465E-4,3,156
12000000,7.172999018494961E-5,3,175
12000000,1.124278681377293E-5,3,172
12000000,2.3023998850815722E-4,3,172
12000000,9.686814619716574E-5,3,187
12000000,4.286989383754327E-5,3,171
12000000,1.7241369251821782E-4,3,172
12000000,1.475252055800293E-5,3,188
12000000,4.180886088359036E-5,3,187
12000000,5.51778761033406E-5,4,171
12000000,1.5205018479857782E-4,4,132
12000000,1.8890549078405183E-5,4,125
12000000,1.5416392571019933E-4,4,125
12000000,8.032435711184105E-5,4,125
12000000,2.925226229047271E-4,6,141
12000000,1.8748868546052052E-4,6,94
12000000,9.665593960634687E-5,6,93
12000000,1.006878648313397E-4,6,77
12000000,1.8238740228514912E-4,6,94
12000000,1.2498551947670607E-4,6,94
12000000,2.1747013057751343E-5,6,93
12000000,1.0016567335071824E-4,6,107
12000000,1.4641838514630061E-4,6,94
12000000,4.1906639182715465E-5,6,94
12000000,5.32596917899693E-5,8,109
12000000,3.2933646553396665E-6,8,62
12000000,3.9580691680275085E-5,8,62
12000000,3.0129173393965275E-5,8,62
12000000,2.5150643506713277E-5,8,78
12000000,1.012267063045298E-4,8,78
12000000,2.3194596623070968E-4,8,79
12000000,2.3756111589041823E-4,8,78
12000000,9.871768969876042E-6,8,79
12000000,1.5671872979588586E-4,8,78
12000000,3.5672344161480975E-4,8,78
12000000,1.1395910175196484E-4,12,110
12000000,3.08870855391943E-4,12,78
12000000,1.3539196742170072E-4,12,78
12000000,1.0833562709597195E-4,12,78
12000000,3.39746914351563E-4,12,94
12000000,1.3242107515066084E-4,12,109
12000000,1.2954796117860468E-4,12,94
12000000,1.622361011564693E-4,12,88
12000000,2.3193764123442535E-4,12,94
12000000,7.385605696531579E-7,12,94
12000000,4.2025068356623254E-7,12,94
12000000,2.0637507204071287E-4,12,94